t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
25.908,0,0,0,0,357.12,-0.88,3.44,-0.14,0.36,-0.25
26.024,0,0,0,0,357.19,-0.75,3.75,-0.11,0.33,-0.24
26.140,0,0,0,0,357.38,-0.75,4.19,-0.18,0.4,-0.22
26.254,0,0,0,0,357.12,-0.94,3.88,-0.15,0.36,-0.23
26.370,0,0,0,0,356.94,-0.69,3.69,-0.16,0.32,-0.23
26.484,0,0,0,0,356.88,-0.69,4.75,-0.14,0.52,-0.21
26.598,0,0,0,0,356.75,-0.88,3.25,-0.15,0.26,-0.25
26.713,0,0,0,0,356.81,-0.94,3.56,-0.14,0.32,-0.25
26.828,0,0,0,0,356.75,-0.94,3.0,-0.18,0.22,-0.25
26.944,0,0,0,0,356.69,-1.06,2.56,-0.13,0.12,-0.25
27.058,0,0,0,0,356.62,-1.0,3.69,-0.1,0.33,-0.24
27.174,0,0,0,0,356.69,-1.0,4.31,-0.16,0.46,-0.22
27.288,0,0,0,0,356.81,-1.0,3.81,-0.14,0.37,-0.24
27.402,0,0,0,0,356.69,-1.25,4.06,-0.08,0.38,-0.25
27.516,0,0,0,0,356.62,-1.19,4.19,-0.08,0.46,-0.22
27.632,0,0,0,0,356.56,-1.25,3.75,-0.08,0.31,-0.25
27.747,0,0,0,0,356.44,-1.31,4.5,-0.05,0.44,-0.23
27.862,0,0,0,0,356.31,-1.25,4.38,-0.07,0.43,-0.22
27.978,0,0,0,0,356.25,-1.44,5.44,-0.12,0.64,-0.2
28.092,0,0,0,0,356.12,-1.56,4.0,-0.02,0.38,-0.25
28.206,0,0,0,0,355.88,-1.38,2.44,-0.05,0.15,-0.25
28.320,0,0,0,0,355.88,-1.38,3.19,-0.05,0.26,-0.24
28.435,0,0,0,0,356.12,-1.31,4.12,-0.06,0.4,-0.23
28.551,0,0,0,0,356.25,-1.19,2.56,-0.08,0.13,-0.24
28.666,0,0,0,0,356.38,-1.19,2.88,-0.06,0.17,-0.25
28.782,0,0,0,0,356.12,-1.25,3.44,-0.06,0.31,-0.23
28.896,0,0,0,0,356.31,-1.38,4.5,-0.03,0.44,-0.24
29.010,0,0,0,0,356.38,-1.38,4.31,-0.06,0.45,-0.23
29.124,0,0,0,0,356.44,-1.38,4.38,-0.04,0.49,-0.23
29.239,0,0,0,0,356.38,-1.31,5.62,-0.07,0.67,-0.23
29.355,0,0,0,0,356.5,-1.25,5.88,-0.09,0.68,-0.21
29.470,0,0,0,0,356.44,-1.44,5.06,-0.08,0.57,-0.22
29.586,0,0,0,0,356.44,-1.38,4.25,-0.03,0.42,-0.21
29.701,0,0,0,0,356.31,-1.25,3.0,-0.05,0.19,-0.25
29.815,0,0,0,0,356.38,-1.25,3.75,-0.07,0.33,-0.25
29.929,0,0,0,0,356.19,-1.06,3.0,-0.07,0.34,-0.24
30.044,0,0,0,0,356.06,-0.88,4.56,-0.08,0.46,-0.24
